"","species1","species2","SI","site"
"279","Androsace_septentrionalis","Lathyrus_leucanthus"," 4.444444e-01","Road"
"280","Artemisia_tridentata","Lathyrus_leucanthus"," 0.000000e+00","Road"
"281","Chrysothamnus_viscidiflorus","Lathyrus_leucanthus"," 0.000000e+00","Road"
"282","Cirsium_arvense","Lathyrus_leucanthus"," 0.000000e+00","Road"
"283","Collomia_linearis","Lathyrus_leucanthus"," 1.838235e-01","Road"
"284","Delphinium_nelsonii","Lathyrus_leucanthus"," 0.000000e+00","Road"
"285","Erigeron_speciosus","Lathyrus_leucanthus"," 0.000000e+00","Road"
"286","Eriogonum_umbellatum","Lathyrus_leucanthus"," 4.629630e-01","Road"
"287","Gayophytum_diffusum","Lathyrus_leucanthus"," 0.000000e+00","Road"
"288","Geranium_richardsonii","Lathyrus_leucanthus"," 1.176471e-01","Road"
"289","Lathyrus_leucanthus","Lathyrus_leucanthus"," 0.000000e+00","Road"
"290","Linaria_vulgaris","Lathyrus_leucanthus"," 0.000000e+00","Road"
"291","Lupinus_bakeri","Lathyrus_leucanthus"," 5.873016e-01","Road"
"292","Madia_glomerata","Lathyrus_leucanthus"," 0.000000e+00","Road"
"293","Mertensia_ciliata","Lathyrus_leucanthus",NA,"Road"
"294","Dasiphora_fruticosa","Lathyrus_leucanthus"," 6.403941e-02","Road"
"295","Potentilla_gracilis","Lathyrus_leucanthus"," 1.590909e-01","Road"
"296","Ranunculus_inamoenus","Lathyrus_leucanthus"," 1.110223e-16","Road"
"297","Taraxacum_officinale","Lathyrus_leucanthus"," 4.444444e-01","Road"
"298","Valeriana_occidentalis","Lathyrus_leucanthus"," 0.000000e+00","Road"
"299","Veratrum_tenuipetalum","Lathyrus_leucanthus"," 0.000000e+00","Road"
"300","Achillea_millefolium","Linaria_vulgaris"," 3.333333e-01","Road"
"301","Agoseris_aurantiaca","Linaria_vulgaris"," 0.000000e+00","Road"
"302","Androsace_septentrionalis","Linaria_vulgaris"," 0.000000e+00","Road"
"303","Artemisia_tridentata","Linaria_vulgaris"," 0.000000e+00","Road"
"304","Chrysothamnus_viscidiflorus","Linaria_vulgaris"," 3.571429e-01","Road"
"305","Cirsium_arvense","Linaria_vulgaris"," 0.000000e+00","Road"
"306","Collomia_linearis","Linaria_vulgaris"," 0.000000e+00","Road"
"307","Delphinium_nelsonii","Linaria_vulgaris"," 0.000000e+00","Road"
"308","Erigeron_speciosus","Linaria_vulgaris"," 6.276151e-02","Road"
"309","Eriogonum_umbellatum","Linaria_vulgaris"," 0.000000e+00","Road"
"310","Gayophytum_diffusum","Linaria_vulgaris"," 0.000000e+00","Road"
"311","Geranium_richardsonii","Linaria_vulgaris"," 2.352941e-02","Road"
"312","Lathyrus_leucanthus","Linaria_vulgaris"," 0.000000e+00","Road"
"313","Linaria_vulgaris","Linaria_vulgaris"," 0.000000e+00","Road"
"314","Lupinus_bakeri","Linaria_vulgaris"," 0.000000e+00","Road"
"315","Madia_glomerata","Linaria_vulgaris"," 0.000000e+00","Road"
